Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,3.430000,3.730000,1.970000,2.430000,2.430000,14683200
2016-02-01,2.440000,2.590000,1.760000,2.330000,2.330000,11817000
2016-03-01,2.450000,3.430000,2.010000,2.330000,2.330000,12466100
2016-04-01,2.350000,2.800000,2.230000,2.510000,2.510000,6513300
2016-05-01,2.510000,2.590000,1.730000,2.090000,2.090000,8685500
2016-06-01,2.060000,2.380000,1.890000,1.990000,1.990000,9140500
2016-07-01,1.950000,2.140000,1.760000,1.800000,1.800000,6215600
2016-08-01,1.770000,2.000000,1.750000,1.820000,1.820000,5380400
2016-09-01,1.830000,1.860000,1.160000,1.180000,1.180000,19253100
2016-10-01,1.190000,1.220000,0.980000,1.000000,1.000000,16525500
2016-11-01,0.990000,1.240000,0.990000,1.120000,1.120000,11551700
2016-12-01,1.120000,1.500000,0.950000,1.010000,1.010000,19041700
2017-01-01,1.020000,1.990000,1.010000,1.490000,1.490000,25328500
2017-02-01,1.500000,2.030000,1.380000,1.790000,1.790000,18262900
2017-03-01,1.550000,1.680000,1.140000,1.370000,1.370000,20391600
2017-04-01,1.390000,1.410000,1.160000,1.190000,1.190000,7411700
2017-05-01,1.190000,1.250000,0.650000,0.760000,0.760000,29401700
2017-06-01,0.760000,0.920000,0.750000,0.870000,0.870000,14548700
2017-07-01,0.870000,1.070000,0.780000,0.940000,0.940000,14540300
2017-08-01,0.930000,1.120000,0.760000,0.920000,0.920000,16011300
2017-09-01,0.910000,1.670000,0.910000,1.520000,1.520000,18071900
2017-10-01,1.530000,1.630000,1.240000,1.530000,1.530000,10670200
2017-11-01,1.530000,3.450000,1.370000,2.900000,2.900000,32191600
2017-12-01,2.880000,3.010000,2.330000,2.410000,2.410000,14945700
2018-01-01,2.390000,2.660000,1.830000,2.200000,2.200000,17848700
2018-02-01,2.180000,3.450000,2.000000,3.320000,3.320000,24817500
2018-03-01,3.320000,5.580000,3.140000,4.570000,4.570000,48452300
2018-04-01,4.580000,5.200000,3.810000,4.150000,4.150000,33294300
2018-05-01,4.120000,6.370000,3.950000,5.730000,5.730000,51679300
2018-06-01,5.850000,7.550000,4.420000,6.730000,6.730000,115701500
2018-07-01,6.730000,7.600000,5.240000,5.950000,5.950000,74271600
2018-08-01,5.470000,6.090000,4.400000,4.890000,4.890000,78678500
2018-09-01,4.860000,5.210000,3.700000,4.850000,4.850000,56340500
2018-10-01,5.010000,5.140000,4.060000,4.540000,4.540000,38699700
2018-11-01,4.550000,5.810000,4.510000,5.400000,5.400000,33926300
2018-12-01,5.580000,6.340000,4.530000,4.730000,4.730000,33764100
2019-01-01,4.630000,7.580000,4.610000,7.230000,7.230000,37369900
2019-02-01,7.260000,9.400000,6.600000,9.070000,9.070000,41080500
2019-03-01,9.110000,9.700000,8.030000,9.230000,9.230000,46784400
2019-04-01,9.150000,10.490000,9.060000,10.040000,10.040000,39823600
2019-05-01,12.300000,16.290001,12.000000,15.170000,15.170000,81866000
2019-06-01,15.090000,19.129999,14.970000,18.230000,18.230000,70214900
2019-07-01,18.799999,28.930000,17.959999,28.150000,28.150000,95445300
2019-08-01,28.580000,35.419998,26.110001,29.670000,29.670000,117447000
2019-09-01,28.790001,29.889999,21.230000,22.230000,22.230000,129867900
2019-10-01,22.070000,27.610001,18.590000,19.430000,19.430000,126016500
2019-11-01,19.430000,23.379999,17.180000,21.870001,21.870001,102666600
2019-12-01,21.870001,27.590000,21.080000,26.129999,26.129999,102731800
2020-01-01,26.370001,33.840000,26.040001,31.520000,31.520000,109812900
2020-02-01,31.690001,59.150002,31.580000,48.970001,48.970001,177696800
2020-03-01,50.459999,59.000000,21.490000,32.290001,32.290001,154927600
2020-04-01,29.940001,49.279999,27.549999,46.830002,46.830002,117399400
2020-05-01,45.130001,70.360001,41.570000,58.189999,58.189999,123376700
2020-06-01,58.180000,60.580002,37.810001,47.570000,47.570000,212831600
2020-07-01,47.529999,65.430000,46.610001,60.360001,60.360001,73315000
2020-08-01,60.889999,79.529999,59.119999,77.230003,77.230003,72239600
2020-09-01,77.470001,84.720001,58.669998,82.589996,82.589996,77878700
2020-10-01,85.559998,118.940002,84.410004,98.089996,98.089996,88219300
2020-11-01,99.010002,148.940002,93.489998,136.570007,136.570007,66008200
2020-12-01,138.649994,189.410004,121.699997,175.470001,175.470001,59109900
2021-01-01,178.699997,222.429993,167.070007,182.350006,182.350006,100824000
